Medicine Name,Category Name,Item Type,Opening Stock,Purchase Qty,Closing Quantity,Active Stock,,,
BOOSTEX FORTE CAP 15'S,GENERAL MEDICINE,BOX,0,4,0,4,,,
BREAST PUMP WITH FEEDING BOTTLE,PED,STRIP,2,8,2,8,,,
BRENTO SYRUP 200 ML,GENERAL MEDICINE,BOX,3,23,5,21,,,
BRO ZEDEX LIQUICAP,ENT,BOTTLE,0,1,0,1,,,
BRO ZEDEX SYP,ENT,STRIP,0,1,0,1,,,
BROM 2.5MG TABLET,ENT,BOTTLE,2,2,2,2,,,
BRUTAFLAM MR 4MG STRIP OF 10 TABLETS,ORTH,STRIP,1,10,2,9,,,
BRUTAFLAM PG STRIP OF 10 TABLETS,ORTH,STRIP,16,715,0,731,,,
BUDECORT 0.5MG,ENT,STRIP,3,36,5,34,,,
BUDECORT 0.5MG PACKET OF 2.5ML RESPULES,ENT,RESPULES,1,335,1,335,,,
BUDECORT 200MCG ROTACAPS 30'S,ENT,PACKET,2,246,2,246,,,
BUDECORT CR CAPSULE 30'S,ENT,BOX,0,4,0,4,,,
BUDESAL 0.5MG RESPULES 5*2ML,ENT,BOTTLE,20,40,20,40,,,
BUDESAL 1MG PACKET OF 5*2ML RESPULES,ENT,PACKET,0,1,0,1,,,
BUPREPLAST 10MG,GENERAL MEDICINE,PACKET,2,7,2,7,,,
BUPRIGESIC PATCH,GENERAL MEDICINE,INJ,0,10,0,10,,,
BUSCOGAST 20MG AMPOULE OF 2ML INJECTION,GENERAL MEDICINE,PATCH,6,7,0,13,,,
BUSCOGAST STRIP OF 10 TABLETS,GENERAL MEDICINE,PATCH,0,7,0,7,,,
C-HOP 200 MG TABLET SR 10,GENERAL MEDICINE,5MG,0,5,4,1,,,
C FURO 250MG TABLET,GENERAL MEDICINE,PATCH,2,4,2,4,,,
C ONE 1000MG INJ 5GM,GENERAL MEDICINE,AMPOULE,0,40,0,40,,,
C ONE 1GM INJ,GENERAL MEDICINE,STRIP,1,8,1,8,,,
C ONE SB INJ,GENERAL MEDICINE,INJ,19,40,22,37,,,
CABGOLIN 0.25MG TABLET,GENERAL MEDICINE,STRIP,0,7,6,1,,,
CABGOLIN 0.5MG TABLET,GENERAL MEDICINE,STRIP,0,1,0,1,,,
CABOPROST 250MG INJ 1ML,OBGY,VIAL,0,455,0,455,,,
CABPROST 250MG INJ,OBGY,VIAL,2,25,2,25,,,
CADOMER TUBE OF 10GM OINTMENT,GENERAL SURGERY,VIAL,0,149,0,149,,,
CALAMOON,GENERAL MEDICINE,STRIP,0,6,0,6,,,
CALAPURE A LOTION 50ML,GENERAL MEDICINE,STRIP,1,48,1,48,,,
CALCIGARD 10 MG STRIP OF 10 CAPSULE,GENERAL MEDICINE,AMPOULE,0,0,0,0,,,
CALCIGARD 5MG CAPSULE,GENERAL MEDICINE,INJ,1,6,1,6,,,
CALCIMAX P SUSP,PED,TUBE,2,2,2,2,,,
CALCINASE NASAL SPRAY,ENT,LOTION,0,1,0,1,,,
CALCIWAY BOTTLE OF 200ML SYRUP,GENERAL MEDICINE,BOTTLE,1,15,0,16,,,
CALCIWAY D3 STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,5,5,0,10,,,
CALCIWAY D3 STRIP OF 4 CAPSULES,GENERAL MEDICINE,STRIP,13,7,8,12,,,
CALDIKIND P MANGO FLAVOUR SUSPENSION 200ML,PED,BOTTLE,0,1,0,1,,,
CALDIKIND PLUS STRIP OF 10 CAPSULES,GENERAL MEDICINE,BOTTLE,0,2,0,2,,,
CALDIKIND STRIP OF 10 CAPSULES,GENERAL MEDICINE,BOTTLE,0,1,0,1,,,
CALDIKIND SUSP 200ML,GENERAL MEDICINE,STRIP,10,1,0,11,,,
CALPOL 120MG STRAWBERRY FLAVOUR BOTTLE OF 60ML SUSPENSION,PED,STRIP,0,3,0,3,,,
CALPOL 120MG STRWBERRY FLAVOUR BOTTLE OF 60 ML SUSPENSION,PED,BOTTLE,2,89,2,89,,,
CALPOL 250MG SUSP 60ML,PED,STRIP,3,963,2,964,,,
CALPOL 500 MG TABLET 500,GENERAL MEDICINE,STRIP,8,257,11,254,,,
CALPOL 500MG STRIP OF 15 TABLETS,GENERAL MEDICINE,BOTTLE,3,40,0,43,,,
CALPOL PAED 100MG PEPPERMINT FLAV DROPS 15ML,PED,BOTTLE,2,40,8,34,,,
CAMDEM 10MG TAB,GENERAL MEDICINE,BOTTLE,2,4,0,6,,,
CANDID 1% LOTION 30ML,GENERAL SURGERY,BOTTLE,4,72,3,73,,,
CANDID B CREAM 10GM,GENERAL SURGERY,BOTTLE,4,6,3,7,,,
CANDID DUSTING POWDER - 60 GM,GENERAL SURGERY,STRIP,7,49,2,54,,,
CANDID EAR DROPS,ENT,BOTTLE,0,16,0,16,,,
CANDID MOUTH PAINT 25ML,ENT,STRIP,0,12,0,12,,,
CANDID POWDER - 100GM,GENERAL SURGERY,BOTTLE,0,1,0,1,,,
CANDID POWDER - 50GM,GENERAL SURGERY,TUBE,2,4,0,6,,,
CANDID V3 200MG STRIP OF 3 VAGINAL TABLETS,OBGY,BOTTLE,0,24,0,24,,,
CANDID EAR DROPS,ENT,BOTTLE,2,19,0,21,,,
CANDID MOUTH PAINT 25ML,ENT,BOTTLE,0,1,0,1,,,
CANDID POWDER - 100GM,GENERAL SURGERY,BOX,0,9,0,9,,,
CANDID POWDER - 50GM,GENERAL SURGERY,BOTTLE,11,481,6,486,,,
CANDID V3 200MG STRIP OF 3 VAGINAL TABLETS,OBGY,STRIP,1,8,2,7,,,
CANDIFORCE 100MG CAPSULE,OBGY,STRIP,7,8,1,14,,,
CANDIFORCE 200MG CAP 10'S,OBGY,STRIP,16,48,3,61,,,
CANDIFORCE 200MG CAP 7'S,OBGY,STRIP,2,41,1,42,,,
CANDIFORCE 200MG CAPSULE,OBGY,STRIP,0,10,0,10,,,
CANDIFORCE SB 50MG STRIP OF 10 CAPSULES,OBGY,STRIP,1,24,0,25,,,
CANDITRAL SB STRIP OF 10 CAPSULES,OBGY,STRIP,0,7,0,7,,,
CAPRIN 25000IU INJ 5ML,GENERAL SURGERY,VIAL,0,3,0,3,,,
CAPRIN 5000 IU INJ,GENERAL SURGERY,VIAL,0,1,0,1,,,
CARILITE,GENERAL MEDICINE,INJ,0,5,4,1,,,
CARIPAP STRIP OF 15 TABLETS,GENERAL MEDICINE,INJ,1,2,1,2,,,
CARTIQUIN 200MG,ORTH,SYP,7,207,6,208,,,
CATHERTER MOUNT,GENERAL SURGERY,STRIP,1,3,1,3,,,
CATHETOR NO 16,GENERAL SURGERY,TAB,17,16,3,30,,,
CCQ 50MG STRIP OF 5 TABLETS,OBGY,PACKET,1,1,1,1,,,
CEFAKIND 250MG TABLET,GENERAL MEDICINE,PACKET,0,0,0,0,,,
CEFICURE S,GENERAL MEDICINE,PENCIL,0,24,0,24,,,
CEFIWAK TAB,GENERAL MEDICINE,STRIP,2,2,2,2,,,
CEFLOX DEE OPTIC E/E DROP 10ML,ENT,STRIP,1,3,1,3,,,
CEFLOX E/E DROPS 10ML,ENT,INJ,0,10,0,10,,,
CEFOBACT 1.5 GM,GENERAL MEDICINE,STRIP,0,1,0,1,,,
CEFROCK 1GM INJ,GENERAL MEDICINE,BOTTLE,0,2,0,2,,,
CEFTIROL,GENERAL MEDICINE,BOTTLE,1,10,1,10,,,
CEFTOX 1GM INJ,GENERAL MEDICINE,INJECTION,0,10,0,10,,,
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,GENERAL MEDICINE,INJ,0,100,0,100,,,
CEFUMERI 500,GENERAL MEDICINE,INJECTION,0,50,0,50,,,
CELFAST INFLA STRIP OF 15 TABLETS,GENERAL MEDICINE,INJ,0,100,6,94,,,
CELIN 500MG CHEW TAB,GENERAL MEDICINE,INJECTION,4,56,20,40,,,
CELPAZONE S 1000/500 MG INJECTION 1 ML,GENERAL MEDICINE,INJ,0,55,20,35,,,
CELTRANZ INJ 5ML,GENERAL MEDICINE,DRY VIAL,0,500,1,499,,,
CENTISORB 1 PNW 2347 CRB,GENERAL SURGERY,INJ,0,180,0,180,,,
CEFUMERI 500,GENERAL MEDICINE,TAB,7,152,1,158,,,
CELFAST INFLA STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,0,43,1,42,,,
CELIN 500MG CHEW TAB,GENERAL MEDICINE,STRIP,0,9,0,9,,,
CELPAZONE S 1000/500 MG INJECTION 1 ML,GENERAL SURGERY,VIAL,0,25,11,14,,,
CELTRANZ INJ 5ML,GENERAL SURGERY,INJECTION,0,15,0,15,,,
CENTISORB 1 PNW 2347 CRB,GENERAL SURGERY,2180,1,16,3,14,,,
CENTLON 2 0 CNW 3336 CRC 1'S [039642],GENERAL SURGERY,BOX,5,12,5,12,,,
CERVICAL COLLARORTHOSIS MEDIUM B 10,ORTH,BOX,1,14,1,14,,,
CERVICAL COLLAR SOFT WITH SUPPORT XL B 02,ORTH,BOX,0,0,0,0,,,
CETANIL T 40/10MG TABLET 15'S,GENERAL MEDICINE,BOX,0,0,0,0,,,
CETAPHIL BABY ECZEMA CALMING LOTION 147 ML,PED,STRIP,0,1,0,1,,,
CETZINE BOTTLE OF 10ML DROPS,GENERAL MEDICINE,BOTTLE,0,1,0,1,,,
CEZOSAL 1000/500 MG INJECTION 1,GENERAL SURGERY,BOTTLE,1,7,2,6,,,
CHARAK LIVOMYN SYRUP - 100ML,GENERAL MEDICINE,BOTTLE,2,16,1,17,,,
CHARAK M2-TONE SYRUP,OBGY,INJ,0,6,0,6,,,
CHICCO BABY BIPACK - 72 WIPES,PED,BOTTLE,4,55,4,55,,,
CHICCO BABY WIPES FLIPTOP PACKET OF 72,PED,BOTTLE,1,44,2,43,,,
CHICCO NEW NIPPLE SHIELDS MEDIUM TO LARGE SILICONE,PED,PACKET,0,6,0,6,,,
CHOLTRAN SACH 5GM,GENERAL MEDICINE,PACKET,1,11,2,10,,,
CHOP 200 SR TAB 10'S,GENERAL MEDICINE,BOX,1,11,0,12,,,
CHOP SR 200MG TAB,GENERAL MEDICINE,PACKET,0,20,3,17,,,
CHYMOBID BR TAB,GENERAL SURGERY,STRIP,0,4,0,4,,,
CHYMOFORCE PLUS,GENERAL SURGERY,STRIP,0,11,0,11,,,
CHYMOMERG TABLET,GENERAL SURGERY,STRIP,6,18,0,24,,,
CHYMORAL FORTE DS STRIP OF 10 TABLETS,GENERAL SURGERY,TAB,0,15,6,9,,,
CHYMORAL FORTE STRIP OF 20 TABLETS,GENERAL SURGERY,STRIP,1,202,1,202,,,
CHYMOTAK,GENERAL SURGERY,STRIP,0,1,0,1,,,
CHYMOTAKE D,GENERAL SURGERY,STRIP,11,57,1,67,,,
CHYMOTAKE TAB 10,GENERAL SURGERY,TAB,0,60,0,60,,,
CHYMOTAS FORTE TABLET,GENERAL SURGERY,TAB,32,273,0,305,,,
CHYMOTECH D TAB,GENERAL SURGERY,TAB,6,102,0,108,,,
CHYMOTECH TAB,GENERAL SURGERY,STRIP,5,10,3,12,,,
CHYMOTHAL FORTE STRIP OF 20 TABLETS,GENERAL SURGERY,STRIP,0,30,0,30,,,
CHYMOWIN DBR TAB,GENERAL SURGERY,STRIP,0,12,0,12,,,
CIDAL 4.5 GM VIAL OF 4.5GM POWDER FOR INJECTION,GENERAL SURGERY,STRIP,0,1,0,1,,,
CILACAR T STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,0,1,0,1,,,
CILACAR TM 25,GENERAL MEDICINE,INJ,0,15,0,15,,,
CIPLACEF 1GM INJ,GENERAL SURGERY,VIAL,0,80,0,80,,,
CIPLACEF 500MG INJ,GENERAL SURGERY,VIAL,3,35,3,35,,,
CIPLADINE 10% SOLU 100ML,GENERAL SURGERY,INJ,0,5,5,0,,,
CIPLADINE 5% OINT 10GM,GENERAL SURGERY,CAN,1,4,2,3,,,
CIPLADINE 5% OINT 125GM,GENERAL SURGERY,STRIP,0,1,0,1,,,
CIPLADINE 5% OINT 20GM,GENERAL SURGERY,TAB,0,2,0,2,,,
CIPLADINE 7.5% SOLUTION 100ML,GENERAL SURGERY,INJECTION,0,700,0,700,,,
CIPLADINE BOTTLE OF 10GM POWDER,GENERAL SURGERY,INJECTION,0,10,0,10,,,
CIPLAR LA 20MG STRIP OF 15 TABLETS,GENERAL MEDICINE,INJECTION,22,400,1,421,,,
CIPLOX 0.3% E/E DROPS 10ML,ENT,BOTTLE,0,18,0,18,,,
CIPLOX 250MG TABLET,GENERAL MEDICINE,TUBE,5,66,11,60,,,
CIPLOX 500MG TABLET,GENERAL MEDICINE,TUBE,4,4,0,8,,,
CIPLOX D E/E DROPS,ENT,TUBE,0,13,1,12,,,
CIPLOX OZ TABLET,GENERAL MEDICINE,BOTTLE,0,0,0,0,,,
CIPLOX,GENERAL MEDICINE,BOTTLE,13,379,27,365,,,
CIPROFLOXACIN (BAX) IV INFUSION 100 ML,GENERAL MEDICINE,STRIP,0,1,0,1,,,
CIR BED BATH WIPES 10S,GENERAL SURGERY,BOTTLE,3,179,3,179,,,
CIROPRED 40,GENERAL MEDICINE,STRIP,2,8,5,5,,,
CISS-STING,GENERAL MEDICINE,STRIP,4,26,2,28,,,
CITAL BOTTLE OF 100ML SYRUP,GENERAL MEDICINE,BOTTLE,5,73,6,72,,,
CITAL UTI BOTTLE OF 100ML SUSPENSION,GENERAL MEDICINE,STRIP,0,2,0,2,,,
CITISTAR PM TABLET,GENERAL MEDICINE,TAB,7,14,0,21,,,
CLAMIN 600 MG INJECTION 4 ML,GENERAL SURGERY,STRIP,0,1,0,1,,,
CLAMP DROPS 10ML,ENT,INFUSION,12,15,10,17,,,
CLAMP KID FORTE BOTTLE OF 30ML SUSPENSION,PED,POUCH,33,547,14,566,,,
CLAMP SUSP,GENERAL MEDICINE,INJ,6,6,6,6,,,
CLARIBID 500MG STRIP OF 10 TABLETS,GENERAL MEDICINE,TAB,12,12,12,12,,,
CLARINOVA 250MG TABLET,GENERAL MEDICINE,BOTTLE,0,50,1,49,,,
CLEARWAX EAR DROPS 10ML,ENT,BOTTLE,0,1,0,1,,,
CLINCIN 300MG CAPSULE,GENERAL MEDICINE,BOTTLE,2,30,3,29,,,
CLOFERT 50MG STRIP OF 10 TABLETS,OBGY,STRIP,0,3,0,3,,,
CLONEON 150MCG INJ 1ML,GENERAL SURGERY,INJECTION,0,10,0,10,,,
CLOPIVAS 75MG STRIP OF 15 TABLETS,GENERAL MEDICINE,BOTTLE,2,3,0,5,,,
CLOPITAB 75MG STRIP OF 15 TABLETS,GENERAL MEDICINE,BOTTLE,0,4,1,3,,,
CLOPITAB A 150MG STRIP OF 15 CAPSULES,GENERAL MEDICINE,BOTTLE,3,101,2,102,,,
CLOSTOP SRX 500/250 MG TABLET 10,GENERAL MEDICINE,STRIP,6,55,3,58,,,
CLOTRIN BOTTLE OF 10ML EAR DROPS,ENT,STRIP,2,9,0,11,,,
CLOZOTIC EAR DROPS,ENT,STRIP,0,3,0,3,,,
COFSIL JAR,GENERAL MEDICINE,BOTTLE,2,20,0,22,,,
COFSILS COUGH DROPS 210,GENERAL MEDICINE,STRIP,3,4,0,7,,,
"COFSILS DROPS ASSORTED (HONEY,MENTHOL,GINGER)",GENERAL MEDICINE,STRIP,7,5,2,10,,,
COFSILS EXPERDINE GARGLE 100 ML,ENT,AMPOULE,4,89,9,84,,,
COFSILS ORANGE LOZENGES,GENERAL MEDICINE,STRIP,13,2,1,14,,,
COLIMAX,PED,STRIP,7,9,3,13,,,
COLGATE ACTIVE SALT TOOTH PASTE 54 GM,GENERAL MEDICINE,STRIP,0,1,0,1,,,
COLGATE STRONG TEETH DENTAL TOOTH PASTE 23 GM,GENERAL MEDICINE,STRIP,0,2,0,2,,,
COMFORTABLE KNEE CAP WITH PATELLAR RING LARGE,ORTH,STRIP,5,6,0,11,,,
CONCOR AM 5/5 MG TABLET 30,GENERAL MEDICINE,BOTTLE,0,1,0,1,,,
CORD CLAM BINI 1'S,PED SURGERY,VIAL,0,2,0,2,,,
CORT S 100MG INJECTION,GENERAL SURGERY,ORANGE,114,115,114,115,,,
COTTON ABSORBENT 200 GM,GENERAL SURGERY,JAR,184,1,0,185,,,
COTTON BANDAGE 10CMX9M,GENERAL SURGERY,JAR,1,1,1,1,,,
COUGHOREX SYP,GENERAL MEDICINE,BOTTLE,0,20,0,20,,,
CRISANTA STRIP OF 21 TABLETS,OBGY,STRIP,29,44,28,45,,,
CRISANTA LS TABLET,OBGY,TAB,9,24,4,29,,,
CRITIPRO DM VANILLA POWDER 180GM,GENERAL MEDICINE,TUBE,0,0,0,0,,,
CTD O 6.25/20MG TABLET,GENERAL MEDICINE,TUBE,1,24,1,24,,,
CUTENOX 40MG INJECTION 0.4ML,GENERAL SURGERY,PACKET,1,14,1,14,,,
CUTENOX 60MG INJ 0.6ML,GENERAL SURGERY,TUBE,2,12,2,12,,,
CUTICELL CLASSIC 10CM X 10CM GAUZE DRESSING,GENERAL SURGERY,TUBE,14,48,14,48,,,
COLICAID DROPS 15ML,PED,BOTTLE,2,52,3,51,,,
COLICAID SYRUP 60ML,PED,BOTTLE,0,6,0,6,,,
COLIMAX,GENERAL MEDICINE,DROP,0,4,0,4,,,
COLOPREP ORANGE,GENERAL MEDICINE,KIT,0,1,0,1,,,
COMFORTABLE KNEE CAP WITH PATELLAR RING LARGE D 07,ORTH,BOX,0,1,0,1,,,
CONCOR AM 5/5 MG TABLET 30,GENERAL MEDICINE,STRIP,6,3,1,8,,,
COR 3 STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,4,28,1,31,,,
COR 3D CAP 10'S,GENERAL MEDICINE,SYP,2,38,5,35,,,
CORBIS 2.5MG STRIP OF 15 TABLETS,GENERAL MEDICINE,BOTTLE,1,2,1,2,,,
CORBIS 5MG STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,0,1,0,1,,,
COROLATE INJ,GENERAL MEDICINE,STRIP,4,131,4,131,,,
CREMAFFIN FRESH TABLETS STRIP OF 10,GENERAL MEDICINE,STRIP,5,2,0,7,,,
CREMAFFIN MINT CONSTIPATION SYRUP BOTTLE OF 200 ML,GENERAL MEDICINE,STRIP,1,1,1,1,,,
CREMAFFIN PLUS BOTTLE OF 225ML EMULSION,GENERAL MEDICINE,BOX,91,235,57,269,,,
CREMAFFIN WHITE LIQUID 200ML,GENERAL MEDICINE,INJECTION,0,10,0,10,,,
CREON 10000 CAP 15'S,GENERAL MEDICINE,DRINE SHEET,4,15,3,16,,,
CTD O 6.25/20MG TABLET,GENERAL MEDICINE,DRY VIAL,13,70,0,83,,,
CTD T 12.5/80MG TABLET,GENERAL MEDICINE,INJECTION,2,4,2,4,,,
CYCLOPAM STRIP OF 10 TABLETS,GENERAL MEDICINE,PACKET,0,2,0,2,,,
CYCLOPAM SUSPENSION 30ML,GENERAL MEDICINE,PACKET,0,60,-1,61,,,
CYCLOPAM SYP 60ML,GENERAL MEDICINE,PACKET,9,127,45,91,,,
D FRESH STRONG TUBE OF 30GM GEL,GENERAL MEDICINE,PACKET,3,1,3,1,,,
D PROTIN CHOCOLATE FLAVOUR POWDER 400GM,PED,BOTTLE,2,42,5,39,,,
DABUR HONEY 20GM,GENERAL MEDICINE,STRIP,10,23,10,23,,,
DAPARYL 5MG STRIP OF 10 TABLETS,GENERAL MEDICINE,AMPOULE,0,3,1,2,,,
DAXVIT D3,GENERAL MEDICINE,BANNDAGE,8,15,8,15,,,
DEPIN 10MG STRIP OF 30 CAPSULES,GENERAL MEDICINE,SYR,0,1,0,1,,,
DFO GEL 30GM,GENERAL MEDICINE,STRIP,0,1,0,1,,,
DIGEPLEX T STRIP OF 10 TABLETS,GENERAL MEDICINE,BOTTLE,0,2,0,2,,,
DIGEPLEX TAB,GENERAL MEDICINE,BOTTLE,3,34,0,37,,,
DIGERAFT MINT FLAVOUR SUSPENSION - 150 ML,GENERAL MEDICINE,BOTTLE,0,0,0,0,,,
DIOVOL LA MINT FLAVOUR BOTTLE OF 170ML SOLUTION,GENERAL MEDICINE,STRIP,2,5,2,5,,,
DIPER,PED,BOTTLE,0,8,0,8,,,
DISPO SYRINGE 50ML,GENERAL SURGERY,STRIP,3,89,2,90,,,
DISPOSABLE NEEDAL 18G 1TW,GENERAL SURGERY,STRIP,0,3,0,3,,,
DISPOSABLE SKIN PREP RAZOR - 50 NUMBERS,GENERAL SURGERY,TIN,0,4,0,4,,,
DISPOVAN SYRINGE 10 ML,GENERAL SURGERY,STRIP,0,2,0,2,,,
DISPOVAN SYRINGE 10ML,GENERAL SURGERY,STRIP,5,1,0,6,,,
DISPOVAN SYRINGE 2.5 ML,GENERAL SURGERY,TAB,20,353,10,363,,,
DISPOVAN SYRINGE 20ML,GENERAL SURGERY,TAB,0,44,0,44,,,
DISPOVAN SYRINGE 50ML,GENERAL SURGERY,PRE-FILLED SYRINGE,3,3,3,3,,,
DISPOVAN SYRNGE 5ML,GENERAL SURGERY,PRE-FILLED SYRINGE,2,3,0,5,,,
DISPRIN STRIP OF 10 TABLETS,GENERAL MEDICINE,DRESSING,30,166,32,164,,,
DIVOL -LA,GENERAL MEDICINE,DRESSING,5,40,5,40,,,
DNS 0.9% INJ 500ML PLASTIC (B BRAUN),GENERAL SURGERY,PACKET,0,15,2,13,,,
DNS PLASTIC INJ 500ML,GENERAL SURGERY,STRIP,23,432,19,436,,,
DOBACT DOX KIT TAB,GENERAL MEDICINE,STRIP,5,12,0,17,,,
DOBIMUST STRIP OF 10 CAPSULES,GENERAL MEDICINE,STRIP,1,4,2,3,,,
DOBUSTAT 250MG INJECTION 5ML,GENERAL MEDICINE,BOTTLE,3,5,3,5,,,
DOLO 650MG STRIP OF 15 TABLETS,GENERAL MEDICINE,BOTTLE,0,2,0,2,,,
DOLOFORCE INJECTION,GENERAL MEDICINE,BOTTLE,4,50,4,50,,,
DOLOFRESH ALU STRIP OF 10 TABLETS,GENERAL MEDICINE,TUBE,0,1,0,1,,,
DOLONEX 20MG INJ 1ML,GENERAL MEDICINE,AMPOULE,0,70,17,53,,,
DOMSTAL 10MG DROPS,PED,JAR,0,1,0,1,,,
DOMSTAL BABY BOTTLE OF 5ML ORAL DROPS,PED,BOTTLE,0,292,0,292,,,
DOMSTAL BOTTLE OF 30ML SUSPENSION,GENERAL MEDICINE,PACKET,1,54,11,44,,,
DONICA 25MG CAPSULE,GENERAL MEDICINE,BOTTLE,0,1,0,1,,,
DOPAR 200MG INJECTION,GENERAL MEDICINE,STRIP,12,73,3,82,,,
DOXIMYCIN TAB,GENERAL MEDICINE,STRIP,0,12,0,12,,,
DOXINATE 24 TABLET 15'S,OBGY,STRIP,1,1,1,1,,,
DOXINATE PLUS STRIP OF 30 TABLETS,OBGY,CAP,1,18,5,14,,,
DOXINATE STRIP OF 30 TABLETS,OBGY,STRIP,0,66,0,66,,,
DOXOLIN 400MG STRIP OF 30 TABLETS,GENERAL MEDICINE,STRIP,3,10,1,12,,,
DOXT SL 100MG STRIP OF 10 CAPSULES,GENERAL MEDICINE,BOTTLE,5,47,4,48,,,
DOXYGLEX,GENERAL MEDICINE,BOTTLE,1,38,4,35,,,
DOXYLAB STRIP OF 8 CAPSULES,GENERAL MEDICINE,IV,4,100,4,100,,,
DOXYLAB STRIP OF 8 TABLETS,GENERAL MEDICINE,MOUTHWASH,0,24,0,24,,,
DOXYMYCIN,GENERAL MEDICINE,STRIP,17,0,0,17,,,
DOXYTREAT LB,GENERAL MEDICINE,VIAL,0,2,1,1,,,
DOXYWELL 100MG,GENERAL MEDICINE,AMPOULE,14,107,20,101,,,
DREP WAX EAR DROPS 10ML,ENT,STRIP,9,6,-1,16,,,
DROGYNA STRIP OF 10 TABLETS,OBGY,TUBE,0,0,0,0,,,
DROGYNA STRIP OF 8 TABLETS,OBGY,TUBE,0,3,0,3,,,
DROTIN INJECTION,GENERAL MEDICINE,BOX,0,1,0,1,,,
DULCOFLEX 10MG SUPPOSITORY FOR ADULTS - 5'S,GENERAL SURGERY,PACK,0,1,0,1,,,
DEXALAB INJ,GENERAL MEDICINE,BOTTLE,1,9,1,9,,,
DEXASONE INJ 2ML,GENERAL MEDICINE,BOX,0,6,0,6,,,
DEXLOG 50MG,GENERAL MEDICINE,BOTTLE,4,9,3,10,,,
DEXTOMID 100MCG INJ,GENERAL MEDICINE,BOX,2,60,2,60,,,
DEXTOMID 50MCG INJECTION,GENERAL MEDICINE,STRIP,6,23,1,28,,,
DEXTROSE 25% INF 100ML (SKKL),GENERAL SURGERY,INJECTION,0,80,0,80,,,
DEXTROSE 5% & 0.45% NS 500ML,GENERAL SURGERY,INJECTION,24,320,28,316,,,
DEXTROSE 5% & 0.9% SODIUM CHL INJ 500ML,GENERAL SURGERY,1,0,48,0,48,,,
DFO GEL 30GM,GENERAL MEDICINE,VIAL,0,48,0,48,,,
DIGEPLEX T STRIP OF 10 TABLETS,GENERAL MEDICINE,INJ,9,11,9,11,,,
DIGEPLEX TAB,GENERAL MEDICINE,AMPOULE,2,78,8,72,,,
DIGERAFT MINT FLAVOUR SUSPENSION - 150 ML,GENERAL MEDICINE,VIAL,0,16,0,16,,,
DIOVOL LA MINT FLAVOUR BOTTLE OF 170ML SOLUTION,GENERAL MEDICINE,INJECTION,8,30,9,29,,,
DIPER,PED,INFUSION,4,145,26,123,,,
DISPO SYRINGE 50ML,GENERAL SURGERY,INJECTION,26,25,8,43,,,
DISPOSABLE NEEDAL 18G 1TW,GENERAL SURGERY,TUBE,1,8,1,8,,,
DISPOSABLE SKIN PREP RAZOR - 50 NUMBERS,GENERAL SURGERY,STRIP,0,34,0,34,,,
DISPOVAN SYRINGE 10 ML,GENERAL SURGERY,ADL,0,11,8,3,,,
DISPOVAN SYRINGE 10ML,GENERAL SURGERY,INJECTION,2,100,1,101,,,
DISPOVAN SYRINGE 2.5 ML,GENERAL SURGERY,AMPOULE,6,30,6,30,,,
DISPOVAN SYRINGE 20ML,GENERAL SURGERY,WRAP,1,10,0,11,,,
DISPOVAN SYRINGE 50ML,GENERAL SURGERY,AMPOULE,1,1,1,1,,,
DISPOVAN SYRNGE 5ML,GENERAL SURGERY,STRIP,1,32,0,33,,,
DISPRIN STRIP OF 10 TABLETS,GENERAL MEDICINE,TAB,0,7,0,7,,,
DIVOL -LA,GENERAL MEDICINE,BOTTLE,0,35,3,32,,,
DNS 0.9% INJ 500ML PLASTIC (B BRAUN),GENERAL SURGERY,PACKET,0,1,0,1,,,
DNS PLASTIC INJ 500ML,GENERAL SURGERY,BOX,0,1,0,1,,,
DOBACT DOX KIT TAB,GENERAL MEDICINE,PACKET,0,3,0,3,,,
DOBIMUST STRIP OF 10 CAPSULES,GENERAL MEDICINE,BOX,0,0,0,0,,,
DOBUSTAT 250MG INJECTION 5ML,GENERAL MEDICINE,L,1,1,1,1,,,
DOLO 650MG STRIP OF 15 TABLETS,GENERAL MEDICINE,PACKET,0,0,0,0,,,
DOLOFORCE INJECTION,GENERAL MEDICINE,BOX,72,100,38,134,,,
DOLOFRESH ALU STRIP OF 10 TABLETS,GENERAL MEDICINE,BOX,0,70,0,70,,,
DOLONEX 20MG INJ 1ML,GENERAL MEDICINE,BOX,10,1121,10,1121,,,
DOMSTAL 10MG DROPS,PED,PACKET,2,1000,0,1002,,,
DOMSTAL BABY BOTTLE OF 5ML ORAL DROPS,PED,PACKET,194,4350,301,4243,,,
DOMSTAL BOTTLE OF 30ML SUSPENSION,GENERAL MEDICINE,PACKET,702,5600,950,5352,,,
DONICA 25MG CAPSULE,GENERAL MEDICINE,BOX,15,35,3,47,,,
DOPAR 200MG INJECTION,GENERAL MEDICINE,BOX,25,70,18,77,,,
DOXIMYCIN TAB,GENERAL MEDICINE,PACKET,365,3400,560,3205,,,
DOXINATE 24 TABLET 15'S,OBGY,STRIP,1,2,1,2,,,
